unpalatability_treatment,density_treatment,experimental_day,site,record_date,species,fac_number,confidence,attacks
no,low,1,2,5/28/22,serpa,7,,0
no,low,1,2,5/28/22,serpa,8,,0
no,low,1,2,5/28/22,serpa,9,,0
no,low,1,2,5/28/22,serpa,10,,0
no,low,1,2,5/28/22,serpa,11,,0
no,low,1,2,5/28/22,serpa,12,,0
no,low,1,2,5/28/22,serpa,13,,0
no,low,1,2,5/28/22,serpa,14,,0
no,low,1,2,5/28/22,serpa,15,,0
no,low,1,2,5/28/22,serpa,16,,0
no,low,1,2,5/28/22,serpa,17,,0
no,low,1,2,5/28/22,serpa,18,,0
no,low,1,2,5/28/22,serpa,19,,0
no,low,1,2,5/28/22,serpa,20,,0
no,low,1,2,5/28/22,junonia,1,,0
no,low,1,2,5/28/22,junonia,2,,0
no,low,1,2,5/28/22,junonia,3,,0
no,low,1,2,5/28/22,junonia,4,,0
no,low,1,2,5/28/22,junonia,5,,0
no,low,1,2,5/28/22,junonia,6,,0
no,low,1,2,5/28/22,junonia,7,,0
no,low,1,2,5/28/22,junonia,8,,0
no,low,1,2,5/28/22,junonia,9,,0
no,low,1,2,5/28/22,junonia,10,,0
no,low,1,2,5/28/22,junonia,11,,0
no,low,1,2,5/28/22,junonia,12,,0
no,low,1,2,5/28/22,junonia,13,,0
no,low,1,2,5/28/22,junonia,14,,0
no,low,1,2,5/28/22,junonia,15,,0
no,low,1,2,5/28/22,junonia,16,,0
no,low,1,2,5/28/22,junonia,17,,0
no,low,1,2,5/28/22,junonia,18,,0
no,low,1,2,5/28/22,junonia,19,,0
no,low,1,2,5/28/22,junonia,20,,0
no,low,1,3,5/28/22,iphiclus,1,,0
no,low,1,3,5/28/22,iphiclus,2,,0
no,low,1,3,5/28/22,iphiclus,3,,0
no,low,1,3,5/28/22,iphiclus,4,,0
no,low,1,3,5/28/22,iphiclus,5,,0
no,low,1,3,5/28/22,iphiclus,6,,0
no,low,1,3,5/28/22,iphiclus,7,,0
no,low,1,3,5/28/22,iphiclus,8,,0
no,low,1,3,5/28/22,iphiclus,9,,0
no,low,1,3,5/28/22,iphiclus,10,,0
no,low,1,3,5/28/22,iphiclus,11,,0
no,low,1,3,5/28/22,iphiclus,12,,0
no,low,1,3,5/28/22,iphiclus,13,,0
no,low,1,3,5/28/22,iphiclus,14,,0
no,low,1,3,5/28/22,iphiclus,15,,0
no,low,1,3,5/28/22,iphiclus,16,,0
no,low,1,3,5/28/22,iphiclus,17,,0
no,low,1,3,5/28/22,iphiclus,18,,0
no,low,1,3,5/28/22,iphiclus,19,,0
no,low,1,3,5/28/22,iphiclus,20,,0
no,low,1,3,5/28/22,serpa,1,,0
no,low,1,3,5/28/22,serpa,2,,0
no,low,1,3,5/28/22,serpa,3,,0
no,low,1,3,5/28/22,serpa,4,,0
no,low,1,3,5/28/22,serpa,5,,0
no,low,1,3,5/28/22,serpa,6,,0
no,low,1,3,5/28/22,serpa,7,,0
no,low,1,3,5/28/22,serpa,8,,0
no,low,1,3,5/28/22,serpa,9,,0
no,low,1,3,5/28/22,serpa,10,,0
no,low,1,3,5/28/22,serpa,11,,0
no,low,1,3,5/28/22,serpa,12,,0
no,low,1,3,5/28/22,serpa,13,,0
no,low,1,3,5/28/22,serpa,14,,0
no,low,1,3,5/28/22,serpa,15,,0
no,low,1,3,5/28/22,serpa,16,,0
no,low,1,3,5/28/22,serpa,17,,0
no,low,1,3,5/28/22,serpa,18,,0
no,low,1,3,5/28/22,serpa,19,,0
no,low,1,3,5/28/22,serpa,20,,0
no,low,1,3,5/28/22,junonia,1,,0
no,low,1,3,5/28/22,junonia,2,,0
no,low,1,3,5/28/22,junonia,3,,0
no,low,1,3,5/28/22,junonia,4,,0
no,low,1,3,5/28/22,junonia,5,,0
no,low,1,3,5/28/22,junonia,6,,0
no,low,1,3,5/28/22,junonia,7,,0
no,low,1,3,5/28/22,junonia,8,,0
no,low,1,3,5/28/22,junonia,9,,0
no,low,1,3,5/28/22,junonia,10,,0
no,low,1,3,5/28/22,junonia,11,,0
no,low,1,3,5/28/22,junonia,12,,0
no,low,1,3,5/28/22,junonia,13,,0
no,low,1,3,5/28/22,junonia,14,,0
no,low,1,3,5/28/22,junonia,15,,0
no,low,1,3,5/28/22,junonia,16,,0
no,low,1,3,5/28/22,junonia,17,,0
no,low,1,3,5/28/22,junonia,18,,0
no,low,1,3,5/28/22,junonia,19,,0
no,low,1,3,5/28/22,junonia,20,,0
no,low,1,4,5/28/22,iphiclus,1,,0
no,low,1,4,5/28/22,iphiclus,2,,0
no,low,1,4,5/28/22,iphiclus,3,,0
no,low,1,4,5/28/22,iphiclus,4,,0
no,low,1,4,5/28/22,iphiclus,5,,0
no,low,1,4,5/28/22,iphiclus,6,,0
no,low,1,4,5/28/22,iphiclus,7,,0
no,low,1,4,5/28/22,iphiclus,8,,0
no,low,1,4,5/28/22,iphiclus,9,,0
no,low,1,4,5/28/22,iphiclus,10,,0
no,low,1,4,5/28/22,iphiclus,11,,0
no,low,1,4,5/28/22,iphiclus,12,,0
no,low,1,4,5/28/22,iphiclus,13,,0
no,low,1,4,5/28/22,iphiclus,14,,0
no,low,1,4,5/28/22,iphiclus,15,,0
no,low,1,4,5/28/22,iphiclus,16,,0
no,low,1,4,5/28/22,iphiclus,17,,0
no,low,1,4,5/28/22,iphiclus,18,,0
no,low,1,4,5/28/22,iphiclus,19,,0
no,low,1,4,5/28/22,iphiclus,20,,0
no,low,1,4,5/28/22,serpa,1,,0
no,low,1,4,5/28/22,serpa,2,,0
no,low,1,4,5/28/22,serpa,3,,0
no,low,1,4,5/28/22,serpa,4,,0
no,low,1,4,5/28/22,serpa,5,,0
no,low,1,4,5/28/22,serpa,6,,0
no,low,1,4,5/28/22,serpa,7,,0
no,low,1,4,5/28/22,serpa,8,,0
no,low,1,4,5/28/22,serpa,9,,0
no,low,1,4,5/28/22,serpa,10,,0
no,low,1,4,5/28/22,serpa,11,,0
no,low,1,4,5/28/22,serpa,12,,0
no,low,1,4,5/28/22,serpa,13,,0
no,low,1,4,5/28/22,serpa,14,,0
no,low,1,4,5/28/22,serpa,15,,0
no,low,1,4,5/28/22,serpa,16,,0
no,low,1,4,5/28/22,serpa,17,,0
no,low,1,4,5/28/22,serpa,18,,0
no,low,1,4,5/28/22,serpa,19,,0
no,low,1,4,5/28/22,serpa,20,,0
no,low,1,4,5/28/22,junonia,1,,0
no,low,1,4,5/28/22,junonia,2,,0
no,low,1,4,5/28/22,junonia,3,,0
no,low,1,4,5/28/22,junonia,4,,0
no,low,1,4,5/28/22,junonia,5,,0
no,low,1,4,5/28/22,junonia,6,,0
no,low,1,4,5/28/22,junonia,7,,0
no,low,1,4,5/28/22,junonia,8,,0
no,low,1,4,5/28/22,junonia,9,,0
no,low,1,4,5/28/22,junonia,10,,0
no,low,1,4,5/28/22,junonia,11,,0
no,low,1,4,5/28/22,junonia,12,,0
no,low,1,4,5/28/22,junonia,13,,0
no,low,1,4,5/28/22,junonia,14,,0
no,low,1,4,5/28/22,junonia,15,,0
no,low,1,4,5/28/22,junonia,16,,0
no,low,1,4,5/28/22,junonia,17,,0
no,low,1,4,5/28/22,junonia,18,,0
no,low,1,4,5/28/22,junonia,19,,0
no,low,1,4,5/28/22,junonia,20,,0
no,low,1,5,5/28/22,iphiclus,1,,0
no,low,1,5,5/28/22,iphiclus,2,,0
no,low,1,5,5/28/22,iphiclus,3,,0
no,low,1,5,5/28/22,iphiclus,4,,0
no,low,1,5,5/28/22,iphiclus,5,,0
no,low,1,5,5/28/22,iphiclus,6,,0
no,low,1,5,5/28/22,iphiclus,7,,0
no,low,1,5,5/28/22,iphiclus,8,,0
no,low,1,5,5/28/22,iphiclus,9,,0
no,low,1,5,5/28/22,iphiclus,10,,0
no,low,1,5,5/28/22,iphiclus,11,,0
no,low,1,5,5/28/22,iphiclus,12,,0
no,low,1,5,5/28/22,iphiclus,13,,0
no,low,1,5,5/28/22,iphiclus,14,,0
no,low,1,5,5/28/22,iphiclus,15,,0
no,low,1,5,5/28/22,iphiclus,16,,0
no,low,1,5,5/28/22,iphiclus,17,,0
no,low,1,5,5/28/22,iphiclus,18,,0
no,low,1,5,5/28/22,iphiclus,19,,0
no,low,1,5,5/28/22,iphiclus,20,,0
no,low,1,5,5/28/22,serpa,1,,0
no,low,1,5,5/28/22,serpa,2,,0
no,low,1,5,5/28/22,serpa,3,,0
no,low,1,5,5/28/22,serpa,4,,0
no,low,1,5,5/28/22,serpa,5,,0
no,low,1,5,5/28/22,serpa,6,,0
no,low,1,5,5/28/22,serpa,7,,0
no,low,1,5,5/28/22,serpa,8,,0
no,low,1,5,5/28/22,serpa,9,,0
no,low,1,5,5/28/22,serpa,10,,0
no,low,1,5,5/28/22,serpa,11,,0
no,low,1,5,5/28/22,serpa,12,,0
no,low,1,5,5/28/22,serpa,13,,0
no,low,1,5,5/28/22,serpa,14,,0
no,low,1,5,5/28/22,serpa,15,,0
no,low,1,5,5/28/22,serpa,16,,0
no,low,1,5,5/28/22,serpa,17,,0
no,low,1,5,5/28/22,serpa,18,,0
no,low,1,5,5/28/22,serpa,19,,0
no,low,1,5,5/28/22,serpa,20,,0
no,low,1,5,5/28/22,junonia,1,,0
no,low,1,5,5/28/22,junonia,2,,0
no,low,1,5,5/28/22,junonia,3,,0
no,low,1,5,5/28/22,junonia,4,,0
no,low,1,5,5/28/22,junonia,5,,0
no,low,1,5,5/28/22,junonia,6,,0
no,low,1,5,5/28/22,junonia,7,,0
no,low,1,5,5/28/22,junonia,8,,0
no,low,1,5,5/28/22,junonia,9,,0
no,low,1,5,5/28/22,junonia,10,,0
no,low,1,5,5/28/22,junonia,11,,0
no,low,1,5,5/28/22,junonia,12,,0
no,low,1,5,5/28/22,junonia,13,,0
no,low,1,5,5/28/22,junonia,14,,0
no,low,1,5,5/28/22,junonia,15,,0
no,low,1,5,5/28/22,junonia,16,,0
no,low,1,5,5/28/22,junonia,17,,0
no,low,1,5,5/28/22,junonia,18,,0
no,low,1,5,5/28/22,junonia,19,,0
no,low,1,5,5/28/22,junonia,20,,0
no,low,1,6,5/28/22,iphiclus,1,,0
no,low,1,6,5/28/22,iphiclus,2,,0
no,low,1,6,5/28/22,iphiclus,3,,0
no,low,1,6,5/28/22,iphiclus,4,,0
no,low,1,6,5/28/22,iphiclus,5,,0
no,low,1,6,5/28/22,iphiclus,6,,0
no,low,1,6,5/28/22,iphiclus,7,,0
no,low,1,6,5/28/22,iphiclus,8,,0
no,low,1,6,5/28/22,iphiclus,9,,0
no,low,1,6,5/28/22,iphiclus,10,,0
no,low,1,6,5/28/22,iphiclus,11,,0
no,low,1,6,5/28/22,iphiclus,12,,0
no,low,1,6,5/28/22,iphiclus,13,,0
no,low,1,6,5/28/22,iphiclus,14,,0
no,low,1,6,5/28/22,iphiclus,15,,0
no,low,1,6,5/28/22,iphiclus,16,,0
no,low,1,6,5/28/22,iphiclus,17,,0
no,low,1,6,5/28/22,iphiclus,18,,0
no,low,1,6,5/28/22,iphiclus,19,,0
no,low,1,6,5/28/22,iphiclus,20,,0
no,low,1,6,5/28/22,serpa,1,,0
no,low,1,6,5/28/22,serpa,2,,0
no,low,1,6,5/28/22,serpa,3,,0
no,low,1,6,5/28/22,serpa,4,,0
no,low,1,6,5/28/22,serpa,5,,0
no,low,1,6,5/28/22,serpa,6,,0
no,low,1,6,5/28/22,serpa,7,,0
no,low,1,6,5/28/22,serpa,8,,0
no,low,1,6,5/28/22,serpa,9,,0
no,low,1,6,5/28/22,serpa,10,,0
no,low,1,6,5/28/22,serpa,11,,0
no,low,1,6,5/28/22,serpa,12,,0
no,low,1,6,5/28/22,serpa,13,,0
no,low,1,6,5/28/22,serpa,14,,0
no,low,1,6,5/28/22,serpa,15,,0
no,low,1,6,5/28/22,serpa,16,,0
no,low,1,6,5/28/22,serpa,17,,0
no,low,1,6,5/28/22,serpa,18,,0
no,low,1,6,5/28/22,serpa,19,,0
no,low,1,6,5/28/22,serpa,20,,0
no,low,1,6,5/28/22,junonia,1,Y,1
no,low,1,6,5/28/22,junonia,2,,0
no,low,1,6,5/28/22,junonia,3,,0
no,low,1,6,5/28/22,junonia,4,,0
no,low,1,6,5/28/22,junonia,5,,0
no,low,1,6,5/28/22,junonia,6,,0
no,low,1,6,5/28/22,junonia,7,,0
no,low,1,6,5/28/22,junonia,8,,0
no,low,1,6,5/28/22,junonia,9,,0
no,low,1,6,5/28/22,junonia,10,,0
no,low,1,6,5/28/22,junonia,11,,0
no,low,1,6,5/28/22,junonia,12,,0
no,low,1,6,5/28/22,junonia,13,,0
no,low,1,6,5/28/22,junonia,14,,0
no,low,1,6,5/28/22,junonia,15,,0
no,low,1,6,5/28/22,junonia,16,,0
no,low,1,6,5/28/22,junonia,17,,0
no,low,1,6,5/28/22,junonia,18,,0
no,low,1,6,5/28/22,junonia,19,,0
no,low,1,6,5/28/22,junonia,20,,0
no,low,1,7,5/28/22,iphiclus,1,,0
no,low,1,7,5/28/22,iphiclus,2,,0
no,low,1,7,5/28/22,iphiclus,3,,0
no,low,1,7,5/28/22,iphiclus,4,,0
no,low,1,7,5/28/22,iphiclus,5,,0
no,low,1,7,5/28/22,iphiclus,6,,0
no,low,1,7,5/28/22,iphiclus,7,,0
no,low,1,7,5/28/22,iphiclus,8,,0
no,low,1,7,5/28/22,iphiclus,9,,0
no,low,1,7,5/28/22,iphiclus,10,,0
no,low,1,7,5/28/22,iphiclus,11,,0
no,low,1,7,5/28/22,iphiclus,12,,0
no,low,1,7,5/28/22,iphiclus,13,,0
no,low,1,7,5/28/22,iphiclus,14,,0
no,low,1,7,5/28/22,iphiclus,15,,0
no,low,1,7,5/28/22,iphiclus,16,,0
no,low,1,7,5/28/22,iphiclus,17,,0
no,low,1,7,5/28/22,iphiclus,18,,0
no,low,1,7,5/28/22,iphiclus,19,,0
no,low,1,7,5/28/22,iphiclus,20,,0
no,low,1,7,5/28/22,serpa,1,,0
no,low,1,7,5/28/22,serpa,2,,0
no,low,1,7,5/28/22,serpa,3,,0
no,low,1,7,5/28/22,serpa,4,,0
no,low,1,7,5/28/22,serpa,5,,0
no,low,1,7,5/28/22,serpa,6,,0
no,low,1,7,5/28/22,serpa,7,,0
no,low,1,7,5/28/22,serpa,8,,0
no,low,1,7,5/28/22,serpa,9,,0
no,low,1,7,5/28/22,serpa,10,,0
no,low,1,7,5/28/22,serpa,11,,0
no,low,1,7,5/28/22,serpa,12,,0
no,low,1,7,5/28/22,serpa,13,,0
no,low,1,7,5/28/22,serpa,14,,0
no,low,1,7,5/28/22,serpa,15,,0
no,low,1,7,5/28/22,serpa,16,,0
no,low,1,7,5/28/22,serpa,17,,0
no,low,1,7,5/28/22,serpa,18,,0
no,low,1,7,5/28/22,serpa,19,,0
no,low,1,7,5/28/22,serpa,20,,0
no,low,1,7,5/28/22,junonia,1,,0
no,low,1,7,5/28/22,junonia,2,,0
no,low,1,7,5/28/22,junonia,3,,0
no,low,1,7,5/28/22,junonia,4,,0
no,low,1,7,5/28/22,junonia,5,,0
no,low,1,7,5/28/22,junonia,6,,0
no,low,1,7,5/28/22,junonia,7,,0
no,low,1,7,5/28/22,junonia,8,,0
no,low,1,7,5/28/22,junonia,9,,0
no,low,1,7,5/28/22,junonia,10,,0
no,low,1,7,5/28/22,junonia,11,,0
no,low,1,7,5/28/22,junonia,12,,0
no,low,1,7,5/28/22,junonia,13,,0
no,low,1,7,5/28/22,junonia,14,,0
no,low,1,7,5/28/22,junonia,15,,0
no,low,1,7,5/28/22,junonia,16,,0
no,low,1,7,5/28/22,junonia,17,,0
no,low,1,7,5/28/22,junonia,18,,0
no,low,1,7,5/28/22,junonia,19,,0
no,low,1,7,5/28/22,junonia,20,,0
no,low,1,8,5/28/22,iphiclus,1,,0
no,low,1,8,5/28/22,iphiclus,2,,0
no,low,1,8,5/28/22,iphiclus,3,,0
no,low,1,8,5/28/22,iphiclus,4,,0
no,low,1,8,5/28/22,iphiclus,5,,0
no,low,1,8,5/28/22,iphiclus,6,,0
no,low,1,8,5/28/22,iphiclus,7,,0
no,low,1,8,5/28/22,iphiclus,8,,0
no,low,1,8,5/28/22,iphiclus,9,,0
no,low,1,8,5/28/22,iphiclus,10,,0
no,low,1,8,5/28/22,iphiclus,11,,0
no,low,1,8,5/28/22,iphiclus,12,,0
no,low,1,8,5/28/22,iphiclus,13,,0
no,low,1,8,5/28/22,iphiclus,14,,0
no,low,1,8,5/28/22,iphiclus,15,,0
no,low,1,8,5/28/22,iphiclus,16,,0
no,low,1,8,5/28/22,iphiclus,17,,0
no,low,1,8,5/28/22,iphiclus,18,,0
no,low,1,8,5/28/22,iphiclus,19,,0
no,low,1,8,5/28/22,iphiclus,20,,0
no,low,1,8,5/28/22,serpa,1,,0
no,low,1,8,5/28/22,serpa,2,,0
no,low,1,8,5/28/22,serpa,3,,0
no,low,1,8,5/28/22,serpa,4,,0
no,low,1,8,5/28/22,serpa,5,,0
no,low,1,8,5/28/22,serpa,6,,0
no,low,1,8,5/28/22,serpa,7,,0
no,low,1,8,5/28/22,serpa,8,,0
no,low,1,8,5/28/22,serpa,9,,0
no,low,1,8,5/28/22,serpa,10,,0
no,low,1,8,5/28/22,serpa,11,,0
no,low,1,8,5/28/22,serpa,12,,0
no,low,1,8,5/28/22,serpa,13,,0
no,low,1,8,5/28/22,serpa,14,,0
no,low,1,8,5/28/22,serpa,15,,0
no,low,1,8,5/28/22,serpa,16,,0
no,low,1,8,5/28/22,serpa,17,,0
no,low,1,8,5/28/22,serpa,18,,0
no,low,1,8,5/28/22,serpa,19,,0
no,low,1,8,5/28/22,serpa,20,,0
no,low,1,8,5/28/22,junonia,1,,0
no,low,1,8,5/28/22,junonia,2,,0
no,low,1,8,5/28/22,junonia,3,,0
no,low,1,8,5/28/22,junonia,4,,0
no,low,1,8,5/28/22,junonia,5,,0
no,low,1,8,5/28/22,junonia,6,,0
no,low,1,8,5/28/22,junonia,7,,0
no,low,1,8,5/28/22,junonia,8,,0
no,low,1,8,5/28/22,junonia,9,,0
no,low,1,8,5/28/22,junonia,10,,0
no,low,1,8,5/28/22,junonia,11,,0
no,low,1,8,5/28/22,junonia,12,,0
no,low,1,8,5/28/22,junonia,13,,0
no,low,1,8,5/28/22,junonia,14,,0
no,low,1,8,5/28/22,junonia,15,,0
no,low,1,8,5/28/22,junonia,16,,0
no,low,1,8,5/28/22,junonia,17,,0
no,low,1,8,5/28/22,junonia,18,,0
no,low,1,8,5/28/22,junonia,19,,0
no,low,1,8,5/28/22,junonia,20,,0
no,low,1,9,5/28/22,iphiclus,1,,0
no,low,1,9,5/28/22,iphiclus,2,,0
no,low,1,9,5/28/22,iphiclus,3,,0
no,low,1,9,5/28/22,iphiclus,4,,0
no,low,1,9,5/28/22,iphiclus,5,,0
no,low,1,9,5/28/22,iphiclus,6,,0
no,low,1,9,5/28/22,iphiclus,7,,0
no,low,1,9,5/28/22,iphiclus,8,,0
no,low,1,9,5/28/22,iphiclus,9,,0
no,low,1,9,5/28/22,iphiclus,10,,0
no,low,1,9,5/28/22,iphiclus,11,,0
no,low,1,9,5/28/22,iphiclus,12,,0
no,low,1,9,5/28/22,iphiclus,13,,0
no,low,1,9,5/28/22,iphiclus,14,,0
no,low,1,9,5/28/22,iphiclus,15,,0
no,low,1,9,5/28/22,iphiclus,16,,0
no,low,1,9,5/28/22,iphiclus,17,,0
no,low,1,9,5/28/22,iphiclus,18,,0
no,low,1,9,5/28/22,iphiclus,19,,0
no,low,1,9,5/28/22,iphiclus,20,,0
no,low,1,9,5/28/22,serpa,1,,0
no,low,1,9,5/28/22,serpa,2,,0
no,low,1,9,5/28/22,serpa,3,,0
no,low,1,9,5/28/22,serpa,4,,0
no,low,1,9,5/28/22,serpa,5,,0
no,low,1,9,5/28/22,serpa,6,,0
no,low,1,9,5/28/22,serpa,7,,0
no,low,1,9,5/28/22,serpa,8,,0
no,low,1,9,5/28/22,serpa,9,,0
no,low,1,9,5/28/22,serpa,10,,0
no,low,1,9,5/28/22,serpa,11,,0
no,low,1,9,5/28/22,serpa,12,,0
no,low,1,9,5/28/22,serpa,13,,0
no,low,1,9,5/28/22,serpa,14,,0
no,low,1,9,5/28/22,serpa,15,,0
no,low,1,9,5/28/22,serpa,16,,0
no,low,1,9,5/28/22,serpa,17,,0
no,low,1,9,5/28/22,serpa,18,,0
no,low,1,9,5/28/22,serpa,19,,0
no,low,1,9,5/28/22,serpa,20,,0
no,low,1,9,5/28/22,junonia,1,,0
no,low,1,9,5/28/22,junonia,2,,0
no,low,1,9,5/28/22,junonia,3,,0
no,low,1,9,5/28/22,junonia,4,,0
no,low,1,9,5/28/22,junonia,5,,0
no,low,1,9,5/28/22,junonia,6,,0
no,low,1,9,5/28/22,junonia,7,,0
no,low,1,9,5/28/22,junonia,8,,0
no,low,1,9,5/28/22,junonia,9,,0
no,low,1,9,5/28/22,junonia,10,,0
no,low,1,9,5/28/22,junonia,11,,0
no,low,1,9,5/28/22,junonia,12,,0
no,low,1,9,5/28/22,junonia,13,,0
no,low,1,9,5/28/22,junonia,14,,0
no,low,1,9,5/28/22,junonia,15,,0
no,low,1,9,5/28/22,junonia,16,,0
no,low,1,9,5/28/22,junonia,17,,0
no,low,1,9,5/28/22,junonia,18,,0
no,low,1,9,5/28/22,junonia,19,,0
no,low,1,9,5/28/22,junonia,20,,0
no,low,1,10,5/28/22,iphiclus,1,,0
no,low,1,10,5/28/22,iphiclus,2,,0
no,low,1,10,5/28/22,iphiclus,3,,0
no,low,1,10,5/28/22,iphiclus,4,,0
no,low,1,10,5/28/22,iphiclus,5,,0
no,low,1,10,5/28/22,iphiclus,6,,0
no,low,1,10,5/28/22,iphiclus,7,,0
no,low,1,10,5/28/22,iphiclus,8,,0
no,low,1,10,5/28/22,iphiclus,9,,0
no,low,1,10,5/28/22,iphiclus,10,,0
no,low,1,10,5/28/22,iphiclus,11,,0
no,low,1,10,5/28/22,iphiclus,12,,0
no,low,1,10,5/28/22,iphiclus,13,,0
no,low,1,10,5/28/22,iphiclus,14,,0
no,low,1,10,5/28/22,iphiclus,15,,0
no,low,1,10,5/28/22,iphiclus,16,,0
no,low,1,10,5/28/22,iphiclus,17,,0
no,low,1,10,5/28/22,iphiclus,18,,0
no,low,1,10,5/28/22,iphiclus,19,,0
no,low,1,10,5/28/22,iphiclus,20,,0
no,low,1,10,5/28/22,serpa,1,Y,1
no,low,1,10,5/28/22,serpa,2,,0
no,low,1,10,5/28/22,serpa,3,,0
no,low,1,10,5/28/22,serpa,4,,0
no,low,1,10,5/28/22,serpa,5,,0
no,low,1,10,5/28/22,serpa,6,,0
no,low,1,10,5/28/22,serpa,7,,0
no,low,1,10,5/28/22,serpa,8,,0
no,low,1,10,5/28/22,serpa,9,,0
no,low,1,10,5/28/22,serpa,10,,0
no,low,1,10,5/28/22,serpa,11,,0
no,low,1,10,5/28/22,serpa,12,,0
no,low,1,10,5/28/22,serpa,13,,0
no,low,1,10,5/28/22,serpa,14,,0
no,low,1,10,5/28/22,serpa,15,,0
no,low,1,10,5/28/22,serpa,16,,0
no,low,1,10,5/28/22,serpa,17,,0
no,low,1,10,5/28/22,serpa,18,,0
no,low,1,10,5/28/22,serpa,19,,0
no,low,1,10,5/28/22,serpa,20,,0
no,low,1,10,5/28/22,junonia,1,Y,1
no,low,1,10,5/28/22,junonia,2,Y,1
no,low,1,10,5/28/22,junonia,3,M,1
no,low,1,10,5/28/22,junonia,4,,0
no,low,1,10,5/28/22,junonia,5,,0
no,low,1,10,5/28/22,junonia,6,,0
no,low,1,10,5/28/22,junonia,7,,0
